text,location,phase
breakingnews bigbreaking gurgaon faridabad may see lockdown covid cases rise punjab minister 8 doctors test coronavirus dc gurugram amitkhatriias dc faridabad yashpalmurar gurugramcoronabulletin haryana covid19 covidwarriorsbreakingnews bigbreaking gurgaon faridabad lockdown covid punjab doctors coronavirus gurugramcoronabulletin haryana covid19 covidwarriors,delhi,2
hmm meaning life changed novel corona virus,delhi,2
one turned away hospital due higher cost treatment sc supremecourt coronavirussupremecourt coronavirus,delhi,2
question thinking china able control covid 19 spread countries still struggling coronavirus amp coronavirus limited parts china anyone answer whosearo drtedros mohfw india covid19covid 19 coronavirus covid19,delhi,2
people sending warm wishes srbachchan recovery yeah good see somewhere india hospitals deny admit critical patients please something mamataofficial banglargorbomb pmoindia narendramodi covid 19 covid19india coronaviruscovid 19 covid19india coronavirus,kolkata,2
“ coronavirus everyone wrong ” back reason swiss immunologist bedamstadlerbedamstadler,kolkata,2
mamataofficial madam pls impose complete lockdown entire state limited containmentzones help govt amp citizens identify area people affected coronavirus otherwise difficult manage pandemicslockdown containmentzones affected coronavirus pandemics,kolkata,2
number coronavirus cases crossed 9 lakh mark tuesday health ministry said 86 per cent total active cases recorded 10 states country,kolkata,2
country people suffering coronavirus deadly diseases crossing 9 lakhs lockdown livelihood china attack certain pockets country called leaders fighting power topping elected government benefits democracy,kolkata,2
vt news newspaper 14 07 2020 promotions scroll legal notice envelope follow us arrow instagram https instagram com virtualtimes news daily igshid 1dc0h21sopvev twitter https twitter com dailyvt 09 youtubehttps www youtube com channel ucuftiwvnwqlpjatkjjh1hpq sports covid19 stayhomestaysafe – nagarvt sports covid19 stayhomestaysafe,chennai,2
vt news newspaper 14 07 2020 promotions scroll legal notice envelope follow us arrow instagram https instagram com virtualtimes news daily igshid 1dc0h21sopvev twitter https twitter com dailyvt 09 youtubehttps www youtube com channel ucuftiwvnwqlpjatkjjh1hpq business covid19 stayhomestaysafe – nagarvt business covid19 stayhomestaysafe,chennai,2
looking forward discussion dynamic power panel endvaw covid19endvaw covid19,chennai,2
chennai citizen volunteers help chennaicorp covid19 combat https youtu mz5ptuhng5i chennaicorp albyjohnv businessline madhuta srinivasanravi srirags – thilai ganga nagarchennai covid19,chennai,2
normalisation survellience wake covid19 number13incovid19,chennai,2
given license covid19 kill wear face masks forgot lifewear,bangalore,2
’ know ’ scary hearing ambulance everyday seeing empty roads lockdown covid19 tuesdaythoughtslockdown covid19 tuesdaythoughts,bangalore,2
“ ’ funds pay monthly rent even food even 25 years age dependent parents ’ pension ” doctor said still working covid19 wards 200 doctors davanagere indefinite protestcovid19,bangalore,2
wishing speedy recovery bachchanfamily srbachchan aishwaryaraibachchan abhishekbacchan covid19bachchanfamily aishwaryaraibachchan abhishekbacchan covid19,bangalore,2
covid19 cases rise namma bengaluru go lockdown today high time take precautions go urgent work face medical mask wear masks shield selector wear shield dashing away follow social distancing open hands wash sanitize hands stay safe xiaomi red heart selector india india indiafightscorona – xiaomi indiacovid19 bengaluru xiaomi india indiafightscorona,bangalore,2
covid19 india fast tracking processes develop covid 19 vaccine icmrcovid19,hyderabad,2
earnest request infected lets act responsible inform close ones whove met recently get tested need hour time civilised folded hands light skin tone telanganafightscorona hyderabad telangana telanganacovidtruth covid19telanganafightscorona hyderabad telangana telanganacovidtruth covid19,hyderabad,2
apart telangana govt hosps covid19 patients amp suspects get admitted 3 hospitals attached pvt med colleges hyderabad outskirts malla reddy kamineni amp mamatha med colleges treatment free cost ghmc telanganafightscorona telanganacovidtruth tstelangana covid19 hyderabad ghmc telanganafightscorona telanganacovidtruth ts,hyderabad,2
thank thank working butts pandemic appreciate youre risking health care community doctorsday2020 doctorupdateat7pm covid19 pandemic pandemic2020 healthcare truly heroic thankdoctorsday2020 doctorupdateat7pm covid19 pandemic pandemic2020 healthcare,hyderabad,2
today addressing covid19 gandhi hospital class 4th employees dharna salariescovid19,hyderabad,2
day 1 get vaccine covid19 covidvaccine lockdowndiariescovid19 covidvaccine lockdowndiaries,mumbai,2
much much ‘ darkness ’ covid hospitals doctors ward helpers behaviours legitimacy trustworthiness treatment care patients lot questions unanswered covid19 covidindia covidinindiacovid19 covidindia covidinindia,mumbai,2
legendary leader shri rntata2000 ji talk future entrepreneurs lots lessons learning minutes talk incredible opportunity creating sharmashradha fan india vision fintech dealsofloan startups global covid19leader talk opportunity india vision fintech dealsofloan startups global covid19,mumbai,2
today 23 positive patients found byculla 2 died 60 cured coronaupdates covid19 officeofut authackeray agsawant iyashwantjadhav kishoripednekar ashishchemburkr mybmc mybmcwardebyculla coronaupdates covid19,mumbai,2
necessary substitute qurbani islam financially sound perform qurbani indian muslims sincerely followed covid19 guidelines government must come sop allow muslims perform religious obligations bakrid2020qurbani bakrid2020,mumbai,2
